operation,target,to,where,exec_time(nanoSec)
Move_Component_New_Node,New-Component_xlnhwheixu,New-Node_xxpukhxcna,,568968894
Move_Component_New_Node,DataStore,New-Node_bhyxtnimnl,,632764064
Move_Operation_Component,printRunningTotal,ScannerController,,325641714
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_alglisnnvo,New-Node_wccmvvxrsf,694229294
UMLCloneNode,Printer,Printer_oevzpfixku,,495346219
Move_Component_New_Node,DataStore,New-Node_bhyxtnimnl,,703197349
Move_Operation_Component,printRunningTotal,ScannerController,,281590937
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_alglisnnvo,New-Node_wccmvvxrsf,644031541
UMLCloneNode,Printer,Printer_oevzpfixku,,429919310
Move_Operation_Component,startSale,Persistence,,340882000
Move_Operation_New_Component_New_Node,scanProduct,New-Component_xlnhwheixu,New-Node_fwcorqxrkv,750919591
UMLCloneNode,New-Node_fwcorqxrkv,New-Node_fwcorqxrkv_zuksofzfuj,,527592171
Move_Component_New_Node,New-Component_xlnhwheixu,New-Node_xxpukhxcna,,622867337
Move_Component_New_Node,DataStore,New-Node_bhyxtnimnl,,598139521
Move_Operation_Component,printRunningTotal,ScannerController,,273421739
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_alglisnnvo,New-Node_wccmvvxrsf,695819856
UMLCloneNode,Printer,Printer_oevzpfixku,,613087449
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_rpxaaibliz,New-Node_udmdndpbjz,702557981
Move_Operation_New_Component_New_Node,scanProduct,New-Component_xlnhwheixu,New-Node_fwcorqxrkv,712191715
UMLCloneNode,New-Node_fwcorqxrkv,New-Node_fwcorqxrkv_zuksofzfuj,,563896143
Move_Component_New_Node,New-Component_xlnhwheixu,New-Node_xxpukhxcna,,654580822
Move_Component_New_Node,DataStore,New-Node_bhyxtnimnl,,562791061
Move_Operation_Component,printRunningTotal,ScannerController,,273130904
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_alglisnnvo,New-Node_wccmvvxrsf,651840523
UMLCloneNode,Printer,Printer_oevzpfixku,,479485609
UMLCloneNode,New-Node_obdklmfibs,New-Node_obdklmfibs_dtycqfmvoh,,321265158
UMLCloneNode,EnterpriseServer,EnterpriseServer_evxfhayohn,,575337597
Move_Operation_New_Component_New_Node,getTransaction,New-Component_hwwwoxsjxl,New-Node_ciwcvljwqr,756179924
Move_Component_New_Node,Inventory,New-Node_elkpeazkiy,,663190495
UMLCloneNode,New-Node_obdklmfibs,New-Node_obdklmfibs_dtycqfmvoh,,289690634
UMLCloneNode,EnterpriseServer,EnterpriseServer_evxfhayohn,,315996950
Move_Operation_New_Component_New_Node,getTransaction,New-Component_hwwwoxsjxl,New-Node_ciwcvljwqr,525844044
Move_Component_New_Node,Inventory,New-Node_elkpeazkiy,,432112492
Move_Component_New_Node,DataStore,New-Node_bhyxtnimnl,,545682772
Move_Operation_Component,printRunningTotal,ScannerController,,272334381
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_alglisnnvo,New-Node_wccmvvxrsf,623086017
UMLCloneNode,Printer,Printer_oevzpfixku,,431565216
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jwetdlmszv,New-Node_udjslcmfxj,598214231
Move_Operation_New_Component_New_Node,getTransaction,New-Component_ibchqdajfe,New-Node_atjzcmnbfh,678364597
Move_Operation_New_Component_New_Node,getTransaction,New-Component_xtdvgrfgeh,New-Node_fuijyfxzlr,579156647
Move_Operation_Component,queryStockItem,Inventory,,248449515
