operation,target,to,where,exec_time(nanoSec)
Move_Component_New_Node,GUIReporting,New-Node_zfxrttcdaw,,1691142896
UMLCloneNode,EnterpriseClient,EnterpriseClient_wfxlnklmrz,,785489321
UMLCloneNode,Printer,Printer_cevruvmekk,,594303127
UMLCloneNode,Printer,Printer_qletfwkroh,,727295615
Move_Operation_Component,getEnterpriseByID,CashDeskApplication,,602389320
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_kvjhgeyyja,New-Node_zlxjthyrra,796284442
UMLCloneNode,EnterpriseClient,EnterpriseClient_mfesijxech,,651196756
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_becxnyczub,New-Node_njbfsrrtxg,782629769
Move_Component_New_Node,Enterprise,New-Node_mygedincrl,,490707500
Move_Operation_Component,enterOrderID,DataStore,,245548005
UMLCloneNode,BarCodeScanner,BarCodeScanner_tebcjvmkaw,,523523122
Move_Operation_New_Component_New_Node,createReport,New-Component_tjrtawodsv,New-Node_kjbdecolaj,607528817
Move_Operation_New_Component_New_Node,getTransaction,New-Component_vlwuonprwd,New-Node_crnjrjfsug,497496130
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_aqqoqdcjki,New-Node_lbfmluhgjr,522233373
Move_Operation_New_Component_New_Node,startSale,New-Component_oyedwzvwcn,New-Node_jrwrdiorlv,510521423
Move_Component_New_Node,DataStore,New-Node_laspjtvbaw,,511762930
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_xtxoauodmu,New-Node_kkolfgvryk,503273583
Move_Operation_Component,printRunningTotal,GUIStore,,213581145
Move_Component_New_Node,New-Component_xtxoauodmu,New-Node_ghholisudy,,410751970
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_wpfgrdkfhd,New-Node_odknnvqpzv,553853272
Move_Component_New_Node,Enterprise,New-Node_jsgooozbgo,,475271057
Move_Operation_Component,getMeanTimeToDelivery,CashDeskApplication,,268797769
UMLCloneNode,StoreServer,StoreServer_taqyunclun,,436273795
UMLCloneNode,New-Node_ongsdvwizq,New-Node_ongsdvwizq_noiqkcvygu,,216525346
Move_Operation_New_Component_New_Node,createReport,New-Component_bbrfivurww,New-Node_qkqaalqbiz,585210028
Move_Component_New_Node,Enterprise,New-Node_qthduwbwpp,,418115908
Move_Operation_Component,saleStartedEvent,AppStore,,238976453
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_luqvymgzzr,New-Node_cymbzbslrp,508123196
Move_Operation_Component,printRunningTotal,CashDeskGUI,,223181437
UMLCloneNode,CashBox,CashBox_cwdsgbaekc,,329481844
