operation,target,to,where,exec_time(nanoSec)
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,563142970
Move_Operation_New_Component_New_Node,scanProduct,New-Component_kqogevupqt,New-Node_dvsmpwsjmt,695629119
Move_Operation_Component,printRunningTotal,Persistence,,269045564
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_wcuqfyngmp,New-Node_kjnkkgkqzu,640093988
UMLCloneNode,New-Node_kjnkkgkqzu,New-Node_kjnkkgkqzu_avqclcwpqe,,370854340
Move_Component_New_Node,Enterprise,New-Node_yteiofzsoy,,612134212
Move_Operation_Component,printRunningTotal,ScannerController,,285342671
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,683104674
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,468465255
Move_Component_New_Node,Enterprise,New-Node_yteiofzsoy,,564921045
Move_Operation_Component,printRunningTotal,ScannerController,,248295206
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,688608404
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,513578525
UMLCloneNode,Printer,Printer_bqtqafuldd,,574094716
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,467093814
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,457727692
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,540592056
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,486768996
Move_Operation_Component,printRunningTotal,ScannerController,,280871258
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,648663105
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,470719042
UMLCloneNode,Printer,Printer_bqtqafuldd,,488243030
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,465529972
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,528218626
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,605190352
UMLCloneNode,Printer,Printer_bqtqafuldd,,502684598
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,488727237
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,464730783
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,489656009
UMLCloneNode,EnterpriseServer,EnterpriseServer_wojbogyark,,564160108
Move_Operation_Component,printRunningTotal,ScannerController,,277187370
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,706066309
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,461202216
UMLCloneNode,Printer,Printer_bqtqafuldd,,496039037
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,476508757
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,485667751
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,460477127
UMLCloneNode,Printer,Printer_bqtqafuldd,,498927223
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,470671773
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,410542036
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,394956042
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,506736465
Move_Operation_Component,printRunningTotal,ScannerController,,287781554
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,657952242
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,502423589
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_fxcnhjfhjo,New-Node_cmbeeccozo,702984941
Move_Operation_Component,printRunningTotal,ScannerController,,291177582
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,684825081
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,472154503
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_vdnhhjigyu,New-Node_jwbfgonltf,696904570
Move_Operation_Component,printRunningTotal,ScannerController,,255481020
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,655655747
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,504692373
UMLCloneNode,Printer,Printer_bqtqafuldd,,511741380
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,378406551
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,426509086
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,519460243
UMLCloneNode,Printer,Printer_bqtqafuldd,,545877157
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,461361656
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,473585166
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,467849802
Move_Component_New_Node,Enterprise,New-Node_yteiofzsoy,,604840055
Move_Operation_Component,printRunningTotal,ScannerController,,306713703
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,759292792
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,561012365
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_vdnhhjigyu,New-Node_jwbfgonltf,676504930
Move_Operation_Component,printRunningTotal,ScannerController,,272425741
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,685026729
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,506589931
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,488468904
Move_Operation_Component,printRunningTotal,ScannerController,,257737721
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,693243866
