solID,perfQ,#changes,pas,reliability
2758,-0.1957595624721979,5.99,0.0,-0.68053096
2842,-0.2316843257793887,7.0,0.0,-0.7593914205627286
2850,-0.23529411764705882,8.83,1.0,-0.7875468106077714
2872,-0.17644084436133434,9.15,1.0,-0.7901363756077715
2898,-0.15357864052485448,3.91,1.0,-0.5272448505627285
2910,-0.11764705882352941,2.9,1.0,-0.7086863500450429
2916,-0.17647058823529413,8.01,1.0,-0.7875468106077714
2930,-0.1728779945537886,4.54,0.0,-0.7593914205627286
2934,-0.17647058823529413,4.35,1.0,-0.5787984500000001
2938,-0.2712252675703336,7.819999999999999,1.0,-0.6568669105627285
2946,-0.1535782087468042,2.9,1.0,-0.6568669105627285
2952,-0.11764705882352941,5.55,1.0,-0.7875468106077714
2954,-0.17647066723361127,5.36,1.0,-0.7086863500450429
2958,-0.23529419664537593,7.82,1.0,-0.7086863500450429
2962,-0.1535782087468042,2.9,1.0,-0.6568669105627285
2966,-0.2712252675703336,7.819999999999999,1.0,-0.6568669105627285
