operation,target,to,where,exec_time(nanoSec)
UMLCloneNode,EnterpriseClient,EnterpriseClient_hcxxfbxmup,,1280365919
UMLCloneNode,CashBox,CashBox_aqolidthyl,,580241452
UMLCloneNode,Printer,Printer_jrfqnejayy,,792339465
Move_Component_New_Node,ScannerController,New-Node_uhciftxvwv,,566942044
Move_Operation_Component,getMeanTimeToDeliveryReport,DataStore,,662034077
Move_Operation_New_Component_New_Node,getTransaction,New-Component_erwxeluayj,New-Node_wakrkukigc,795600980
UMLCloneNode,CashDeskPC,CashDeskPC_hqfsfrbvas,,564920263
UMLCloneNode,EnterpriseClient,EnterpriseClient_udesbvoqfv,,463506588
Move_Component_New_Node,Inventory,New-Node_zixucyypzo,,707662061
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_skyynuxnzz,New-Node_mihexjhwao,791607964
UMLCloneNode,CashBox,CashBox_kvydmommgw,,579097186
Move_Operation_Component,queryStockItem,ScannerController,,285987992
Move_Operation_Component,getEnterpriseByID,PrinterController,,376248815
Move_Component_New_Node,GUIStore,New-Node_oapmtipocm,,480934616
UMLCloneNode,New-Node_bhcajodrga,New-Node_bhcajodrga_puwjoihcpd,,356037608
UMLCloneNode,New-Node_bhcajodrga_puwjoihcpd,New-Node_bhcajodrga_puwjoihcpd_lfssajoayh,,236914476
UMLCloneNode,StoreServer,StoreServer_ihuhfokzob,,427376392
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_buxqbryboe,New-Node_hvqmxtcjtb,631513329
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_dcliwnlwmt,New-Node_wucdcjkejs,705729929
UMLCloneNode,StoreServer,StoreServer_rplvewcwte,,408056586
UMLCloneNode,LightDisplay,LightDisplay_lwqyaasvit,,352002061
UMLCloneNode,Printer,Printer_vaoxmkqboz,,391645134
UMLCloneNode,LightDisplay_lwqyaasvit,LightDisplay_lwqyaasvit_byireaagjh,,347358544
Move_Component_New_Node,CashDeskApplication,New-Node_yyzgpticqq,,386929312
UMLCloneNode,CashDeskPC,CashDeskPC_xcwbnwzzie,,337618641
Move_Component_New_Node,Persistence,New-Node_dzdtlurfgx,,438803378
Move_Operation_Component,getMeanTimeToDeliveryReport,AppStore,,248790856
UMLCloneNode,Printer,Printer_orggxcqysx,,342183200
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_jblvxhjdwh,New-Node_srprjjuluf,479470320
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zurlvldqub,New-Node_pguxtdauqe,573609967
Move_Component_New_Node,AppStore,New-Node_xixymoxjsp,,470811234
Move_Operation_Component,createReport,AppStore,,263090358
UMLCloneNode,EnterpriseServer,EnterpriseServer_omtsbjzdmn,,315829696
Move_Operation_Component,getProductWithStockItem,AppStore,,241576598
UMLCloneNode,StoreServer,StoreServer_ohjcdkwogh,,323936046
UMLCloneNode,BarCodeScanner,BarCodeScanner_pnqrckbzlg,,362872113
Move_Operation_Component,printRunningTotal,GUIStore,,208419697
Move_Component_New_Node,Reporting,New-Node_paardemjaa,,460679306
UMLCloneNode,EnterpriseClient,EnterpriseClient_uizewqopxg,,455648954
UMLCloneNode,EnterpriseClient_uizewqopxg,EnterpriseClient_uizewqopxg_uypffkyrrr,,327204635
Move_Component_New_Node,DataStore,New-Node_sikmhcvfsx,,446380135
Move_Operation_Component,productBarCodeScannedEvent,ScannerController,,215961238
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_xhhzkyhogt,New-Node_adyaeitcqa,443236590
UMLCloneNode,StoreServer,StoreServer_rhuverudbd,,379629764
Move_Operation_Component,enterOrderID,DataStore,,238547027
Move_Operation_New_Component_New_Node,startSale,New-Component_cjuamrbjko,New-Node_awenpvsmwr,626458441
UMLCloneNode,Printer,Printer_tmuxhldxkn,,416670829
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_lgvacybadt,New-Node_svtlyuidcw,548883894
Move_Component_New_Node,DataStore,New-Node_svlssgsvwc,,388736189
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_wumuectteg,New-Node_wonpdrkgun,554880478
UMLCloneNode,CashDeskPC,CashDeskPC_mceatgaqqh,,369726195
UMLCloneNode,BarCodeScanner,BarCodeScanner_bsquwxgbyw,,341154772
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xagslcczow,New-Node_nkwmuwpraz,513433973
UMLCloneNode,BarCodeScanner,BarCodeScanner_jfkxdhnvhh,,356433601
Move_Operation_Component,rollInReceivedOrder,CashDeskApplication,,268271522
UMLCloneNode,StoreServer,StoreServer_dmgousorcx,,373293934
Move_Operation_Component,queryOrderById,CashDeskApplication,,238717978
Move_Operation_New_Component_New_Node,scanProduct,New-Component_iphkswxbes,New-Node_xlreoiilsv,513959749
UMLCloneNode,Printer,Printer_fsroxrfigy,,435406068
UMLCloneNode,EnterpriseClient,EnterpriseClient_reiyfwkncb,,340424272
Move_Operation_New_Component_New_Node,startSale,New-Component_xgamyagodu,New-Node_mpwstadwoh,608002163
UMLCloneNode,EnterpriseClient,EnterpriseClient_lunnkftgsy,,416640912
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_sxmdnwvkis,New-Node_qursforlon,468732456
Move_Operation_Component,getTransaction,Enterprise,,225431455
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_jblvxhjdwh,New-Node_srprjjuluf,454562426
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zurlvldqub,New-Node_pguxtdauqe,429172089
Move_Component_New_Node,AppStore,New-Node_xixymoxjsp,,346539218
Move_Operation_Component,createReport,AppStore,,222534854
UMLCloneNode,EnterpriseClient,EnterpriseClient_hcxxfbxmup,,399050118
UMLCloneNode,CashBox,CashBox_aqolidthyl,,410990608
UMLCloneNode,Printer,Printer_jrfqnejayy,,349353756
Move_Component_New_Node,ScannerController,New-Node_uhciftxvwv,,391916813
Move_Operation_New_Component_New_Node,startSale,New-Component_xgamyagodu,New-Node_mpwstadwoh,579232750
UMLCloneNode,EnterpriseClient,EnterpriseClient_lunnkftgsy,,431742598
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_sxmdnwvkis,New-Node_qursforlon,566794267
Move_Operation_Component,getTransaction,Enterprise,,309780103
Move_Operation_New_Component_New_Node,startSale,New-Component_xgamyagodu,New-Node_mpwstadwoh,657997958
UMLCloneNode,EnterpriseClient,EnterpriseClient_lunnkftgsy,,513551144
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_sxmdnwvkis,New-Node_qursforlon,517384912
Move_Operation_Component,getTransaction,Enterprise,,224877597
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_jblvxhjdwh,New-Node_srprjjuluf,546464698
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zurlvldqub,New-Node_pguxtdauqe,581086025
Move_Component_New_Node,AppStore,New-Node_xixymoxjsp,,494646236
Move_Operation_Component,createReport,AppStore,,273375402
UMLCloneNode,CashDeskPC,CashDeskPC_vjynfhpsqi,,374443840
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zurlvldqub,New-Node_pguxtdauqe,538704368
Move_Component_New_Node,AppStore,New-Node_xixymoxjsp,,533138931
Move_Operation_Component,createReport,AppStore,,261360013
UMLCloneNode,EnterpriseServer,EnterpriseServer_nylzzigdan,,463964136
Move_Operation_New_Component_New_Node,getTransaction,New-Component_erwxeluayj,New-Node_wakrkukigc,737712387
UMLCloneNode,CashDeskPC,CashDeskPC_hqfsfrbvas,,415644614
UMLCloneNode,EnterpriseClient,EnterpriseClient_udesbvoqfv,,383319663
UMLCloneNode,Printer,Printer_mnnbvdncnl,,435383916
UMLCloneNode,EnterpriseClient,EnterpriseClient_lunnkftgsy,,349193776
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_sxmdnwvkis,New-Node_qursforlon,532882451
Move_Operation_Component,getTransaction,Enterprise,,232764325
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xagslcczow,New-Node_nkwmuwpraz,576862866
UMLCloneNode,BarCodeScanner,BarCodeScanner_jfkxdhnvhh,,407693997
Move_Operation_Component,rollInReceivedOrder,CashDeskApplication,,312312782
UMLCloneNode,StoreServer,StoreServer_dmgousorcx,,402764603
Move_Operation_New_Component_New_Node,startSale,New-Component_xgamyagodu,New-Node_mpwstadwoh,553044155
UMLCloneNode,EnterpriseClient,EnterpriseClient_lunnkftgsy,,394391143
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_sxmdnwvkis,New-Node_qursforlon,623949917
Move_Operation_Component,getTransaction,Enterprise,,296092308
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xagslcczow,New-Node_nkwmuwpraz,578084046
UMLCloneNode,BarCodeScanner,BarCodeScanner_jfkxdhnvhh,,397123045
Move_Operation_Component,rollInReceivedOrder,CashDeskApplication,,247473205
UMLCloneNode,StoreServer,StoreServer_dmgousorcx,,339345329
Move_Operation_Component,saleStartedEvent,Inventory,,311860093
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_buxqbryboe,New-Node_hvqmxtcjtb,591436613
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_dcliwnlwmt,New-Node_wucdcjkejs,607672536
UMLCloneNode,StoreServer,StoreServer_rplvewcwte,,392419125
UMLCloneNode,EnterpriseServer,EnterpriseServer_omtsbjzdmn,,381976916
Move_Operation_Component,getProductWithStockItem,AppStore,,227886719
UMLCloneNode,StoreServer,StoreServer_ohjcdkwogh,,414803948
UMLCloneNode,BarCodeScanner,BarCodeScanner_pnqrckbzlg,,378896880
UMLCloneNode,New-Node_nqgkienxxc,New-Node_nqgkienxxc_dmowjlzvmh,,200391433
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_skyynuxnzz,New-Node_mihexjhwao,504534417
UMLCloneNode,CashBox,CashBox_kvydmommgw,,419748960
Move_Operation_Component,queryStockItem,ScannerController,,225951119
Move_Component_New_Node,Inventory,New-Node_zixucyypzo,,474171545
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_skyynuxnzz,New-Node_mihexjhwao,540057645
UMLCloneNode,CashBox,CashBox_kvydmommgw,,357392188
Move_Operation_Component,queryStockItem,ScannerController,,237147533
Move_Operation_New_Component_New_Node,startSale,New-Component_xgamyagodu,New-Node_mpwstadwoh,654420961
UMLCloneNode,EnterpriseClient,EnterpriseClient_lunnkftgsy,,358211053
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_sxmdnwvkis,New-Node_qursforlon,601055609
Move_Operation_Component,getTransaction,Enterprise,,242380465
UMLCloneNode,EnterpriseServer,EnterpriseServer_omtsbjzdmn,,410215865
Move_Operation_Component,getProductWithStockItem,AppStore,,263815027
UMLCloneNode,StoreServer,StoreServer_ohjcdkwogh,,441101868
UMLCloneNode,BarCodeScanner,BarCodeScanner_pnqrckbzlg,,407221360
Move_Operation_Component,getEnterpriseByID,PrinterController,,240516541
Move_Component_New_Node,GUIStore,New-Node_oapmtipocm,,408490190
UMLCloneNode,New-Node_bhcajodrga,New-Node_bhcajodrga_puwjoihcpd,,215561087
UMLCloneNode,New-Node_bhcajodrga_puwjoihcpd,New-Node_bhcajodrga_puwjoihcpd_lfssajoayh,,164943437
Move_Component_New_Node,DataStore,New-Node_sikmhcvfsx,,463279281
Move_Operation_Component,productBarCodeScannedEvent,ScannerController,,239163123
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_xhhzkyhogt,New-Node_adyaeitcqa,639879796
UMLCloneNode,StoreServer,StoreServer_rhuverudbd,,436955694
Move_Operation_Component,getMeanTimeToDeliveryReport,DataStore,,271913712
Move_Operation_New_Component_New_Node,getTransaction,New-Component_erwxeluayj,New-Node_wakrkukigc,562181387
UMLCloneNode,CashDeskPC,CashDeskPC_hqfsfrbvas,,377353266
UMLCloneNode,EnterpriseClient,EnterpriseClient_udesbvoqfv,,362534369
Move_Component_New_Node,DataStore,New-Node_sikmhcvfsx,,499044594
Move_Operation_Component,productBarCodeScannedEvent,ScannerController,,274150426
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_xhhzkyhogt,New-Node_adyaeitcqa,635167621
UMLCloneNode,StoreServer,StoreServer_rhuverudbd,,428995237
Move_Operation_Component,enterOrderID,DataStore,,400310582
Move_Operation_New_Component_New_Node,startSale,New-Component_cjuamrbjko,New-Node_awenpvsmwr,697678482
