operation,target,to,where,exec_time(nanoSec)
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,659158034
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,662093408
Move_Operation_Component,enterOrderID,ScannerController,,399600481
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_vkzgeaxkbx,New-Node_rdjaioxwlq,734748460
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_uhyiqfptif,New-Node_vkghdudflm,619507628
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_bmsuzpnwoi,New-Node_ceagqyawwx,667543186
UMLCloneNode,EnterpriseClient,EnterpriseClient_uuuaoqhnpt,,478272895
Move_Component_New_Node,DataStore,New-Node_bupmlqqdsp,,529499267
Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskGUI,,270724843
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_yshyqzmnjx,New-Node_jcnazypnzf,706419000
UMLCloneNode,EnterpriseClient,EnterpriseClient_uuuaoqhnpt,,537693572
Move_Component_New_Node,DataStore,New-Node_bupmlqqdsp,,473314829
Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskGUI,,281613328
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_yshyqzmnjx,New-Node_jcnazypnzf,625331518
UMLCloneNode,EnterpriseClient,EnterpriseClient_uuuaoqhnpt,,406352892
Move_Component_New_Node,DataStore,New-Node_bupmlqqdsp,,530712752
Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskGUI,,284991322
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_yshyqzmnjx,New-Node_jcnazypnzf,660074943
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_zddrapfwpc,New-Node_fintekdjrn,602805019
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,542218216
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,684712008
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,495387295
Move_Operation_Component,scanProduct,CashDeskApplication,,301363772
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,499035916
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,650185439
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,470521541
Move_Operation_Component,enterOrderID,ScannerController,,265730267
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_vkzgeaxkbx,New-Node_rdjaioxwlq,558695071
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_uhyiqfptif,New-Node_vkghdudflm,694414932
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_bmsuzpnwoi,New-Node_ceagqyawwx,684015071
UMLCloneNode,EnterpriseClient,EnterpriseClient_uuuaoqhnpt,,474657055
Move_Component_New_Node,DataStore,New-Node_bupmlqqdsp,,578301313
Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskGUI,,339210817
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_yshyqzmnjx,New-Node_jcnazypnzf,640175190
UMLCloneNode,StoreServer,StoreServer_zdzgehkynn,,525160742
Move_Operation_Component,createReport,PrinterController,,321291898
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_gqmyrxjqyu,New-Node_iachzwgpgk,603811095
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,636600337
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_nwbxgakcjm,New-Node_tgyajkcsjq,652796155
Move_Operation_Component,createReport,PrinterController,,302746214
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,737775505
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,673108581
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_zddrapfwpc,New-Node_fintekdjrn,789178459
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,534434922
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,655118719
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,537176903
Move_Component_New_Node,GUIStore,New-Node_pkquitdkfk,,583912524
UMLCloneNode,EnterpriseServer,EnterpriseServer_hnngtxtvcf,,493130143
Move_Operation_Component,getMeanTimeToDeliveryReport,Inventory,,275620903
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_biezrcfdtw,New-Node_fjqxeovgtl,659200974
UMLCloneNode,EnterpriseServer,EnterpriseServer_nydgkolbvg,,543378501
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,586188331
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,855929380
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,450959171
UMLCloneNode,CashDeskPC,CashDeskPC_xtxnjyucbh,,557663666
Move_Operation_Component,createReport,PrinterController,,277486020
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,636786787
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,721648887
Move_Operation_Component,enterOrderID,ScannerController,,317997440
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_vkzgeaxkbx,New-Node_rdjaioxwlq,742221531
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_uhyiqfptif,New-Node_vkghdudflm,600904165
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_bmsuzpnwoi,New-Node_ceagqyawwx,774874859
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qvppykqadp,New-Node_xsspsqcris,723079330
Move_Operation_Component,createReport,PrinterController,,291182602
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,778027761
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,777249380
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qvppykqadp,New-Node_xsspsqcris,728233484
Move_Operation_Component,createReport,PrinterController,,285142647
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,664874292
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,670092366
UMLCloneNode,EnterpriseClient,EnterpriseClient_wxmtyncxgq,,566261939
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_frvkljclgc,New-Node_pjpgqgcsul,641501056
UMLCloneNode,EnterpriseServer,EnterpriseServer_pvicnvkgyl,,405108338
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jfvndakpec,New-Node_yzchfhtcto,684317599
UMLCloneNode,EnterpriseClient,EnterpriseClient_wxmtyncxgq,,576318015
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_afqgjezrsl,New-Node_zhqmsrsvzt,623810144
UMLCloneNode,EnterpriseServer,EnterpriseServer_pvicnvkgyl,,393078321
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jfvndakpec,New-Node_yzchfhtcto,646337684
UMLCloneNode,EnterpriseClient,EnterpriseClient_wxmtyncxgq,,415340805
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_afqgjezrsl,New-Node_zhqmsrsvzt,635851964
