operation,target,to,where,exec_time(nanoSec)
Move_Component_New_Node,CashDeskApplication,New-Node_wnzkvjitcl,,575158792
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,703947220
Move_Operation_Component,startSale,Reporting,,287515451
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,503217856
Move_Component_New_Node,Inventory,New-Node_hbmrvtozib,,500621957
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,581292565
Move_Operation_Component,startSale,Reporting,,242630435
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,533532497
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,646207125
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,683077762
Move_Operation_Component,startSale,Reporting,,339385327
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,789678849
Move_Component_New_Node,DataStore,New-Node_kafdbfcczp,,597190730
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,683046282
Move_Operation_Component,startSale,Reporting,,279378731
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_lnwmkgqonn,New-Node_peiouxfssf,646516024
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_ajvjjshoct,New-Node_azdeemarzj,732400721
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,657878833
Move_Operation_Component,startSale,Reporting,,285963501
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,457433472
UMLCloneNode,Printer,Printer_bdqesndygu,,493673035
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,665007784
Move_Operation_Component,startSale,Reporting,,306733853
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,663300371
UMLCloneNode,Printer,Printer_bdqesndygu,,628114024
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,763639816
Move_Operation_Component,startSale,Reporting,,310346087
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,751092475
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,604652495
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,620365912
Move_Operation_Component,startSale,Reporting,,271590055
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,490540210
UMLCloneNode,Printer,Printer_bdqesndygu,,499386791
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,664936871
Move_Operation_Component,startSale,Reporting,,273286437
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,455199012
UMLCloneNode,Printer,Printer_bdqesndygu,,508435190
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,705180473
Move_Operation_Component,startSale,Reporting,,301050474
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,667070993
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,1169168708
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,650855433
Move_Operation_Component,startSale,Reporting,,291648492
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,1027262289
Move_Operation_New_Component_New_Node,startSale,New-Component_vtsprgrkch,New-Node_bjpqqyevjz,681599198
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,648737751
Move_Operation_Component,startSale,Reporting,,268988186
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,453333793
UMLCloneNode,Printer,Printer_bdqesndygu,,473001368
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,621383121
Move_Operation_Component,startSale,Reporting,,284026168
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,708547877
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,648318685
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,645545273
Move_Operation_Component,startSale,Reporting,,278793274
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,461039054
UMLCloneNode,Printer,Printer_bdqesndygu,,534678756
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,699423547
Move_Operation_Component,startSale,Reporting,,278461702
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,636746001
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_wokbticimi,New-Node_dmluwzokoe,702482844
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,598176259
Move_Operation_Component,startSale,Reporting,,272955435
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,622719396
UMLCloneNode,Printer,Printer_bdqesndygu,,520577101
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,721410781
Move_Operation_Component,startSale,Reporting,,310966020
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,514832828
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,696268860
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,695788970
Move_Operation_Component,startSale,Reporting,,305187814
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,708325751
UMLCloneNode,LightDisplay,LightDisplay_cuutfnrupk,,468348022
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,641967714
Move_Operation_Component,startSale,Reporting,,264818486
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,445738390
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,577557020
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,758899075
Move_Operation_Component,startSale,Reporting,,318907593
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,551659943
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,729027726
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,691121957
Move_Operation_Component,startSale,Reporting,,292384453
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,707639404
Move_Component_New_Node,GUIStore,New-Node_mqpeuzgayp,,508250694
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,647000994
Move_Operation_Component,startSale,Reporting,,245644517
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,364044793
Move_Component_New_Node,Inventory,New-Node_hbmrvtozib,,537459632
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,647994617
Move_Operation_Component,startSale,Reporting,,300639974
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,758285325
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,704072795
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,649091394
Move_Operation_Component,startSale,Reporting,,291993339
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,765323994
UMLCloneNode,Printer,Printer_bdqesndygu,,386706011
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,563817874
Move_Operation_Component,startSale,Reporting,,248677145
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,399938117
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,769911558
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,689068727
Move_Operation_Component,startSale,Reporting,,315636218
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,767697295
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,575641918
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,722854668
