solID,perfQ,#changes,pas,reliability
23,-0.0397697164296293,6.6899999999999995,14.0,-0.81973357658136
186,-0.25120065437772027,15.08,5.0,-0.8807938161344459
198,-0.13498971088112022,8.14,14.0,-0.8198902728763183
199,-0.06670684040736154,8.14,11.0,-0.8922527351760402
