operation,target,to,where,exec_time(nanoSec)
Move_Component_New_Node,CashBoxController,New-Node_gfaxyozuaz,,385918356
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_ejztggcpan,New-Node_crxpesdppk,511595196
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xlacoadkec,New-Node_vaorwapzap,514210350
Move_Operation_New_Component_New_Node,createReport,New-Component_fbygytpmhm,New-Node_mmkbmdblmt,439970076
Move_Component_New_Node,CashBoxController,New-Node_gfaxyozuaz,,447752719
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_ejztggcpan,New-Node_crxpesdppk,480519087
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xlacoadkec,New-Node_vaorwapzap,528454348
Move_Operation_New_Component_New_Node,createReport,New-Component_fbygytpmhm,New-Node_mmkbmdblmt,521604874
Move_Operation_Component,enterOrderID,AppStore,,325898426
UMLCloneNode,StoreServer,StoreServer_bdunnlklrj,,402579487
Move_Component_New_Node,GUIReporting,New-Node_xdfdzulbwg,,399205781
UMLCloneNode,New-Node_xdfdzulbwg,New-Node_xdfdzulbwg_olspxfwdgh,,345676039
Move_Operation_New_Component_New_Node,startSale,New-Component_rxrcuvcgdd,New-Node_byhdahxatu,487089207
UMLCloneNode,New-Node_byhdahxatu,New-Node_byhdahxatu_ikadpksusq,,322408541
UMLCloneNode,CashDeskPC,CashDeskPC_zsomiplarp,,364484195
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_qwybzzgavx,New-Node_whaptrtiwb,567349078
Move_Component_New_Node,CashBoxController,New-Node_knkpmcgqjp,,481448149
UMLCloneNode,StoreServer,StoreServer_zghucygied,,410799730
UMLCloneNode,New-Node_knkpmcgqjp,New-Node_knkpmcgqjp_gdgfquqorx,,537689454
UMLCloneNode,New-Node_kijnftcfue,New-Node_kijnftcfue_pvljdppbma,,243924911
Move_Operation_Component,enterOrderID,AppStore,,284389955
UMLCloneNode,StoreServer,StoreServer_bdunnlklrj,,383328159
Move_Component_New_Node,GUIReporting,New-Node_xdfdzulbwg,,469781934
UMLCloneNode,New-Node_xdfdzulbwg,New-Node_xdfdzulbwg_olspxfwdgh,,428758724
Move_Component_New_Node,Enterprise,New-Node_gmlelragbz,,578678531
Move_Operation_New_Component_New_Node,scanProduct,New-Component_ptxnaqrpiw,New-Node_pgmypfoeqt,548304057
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_lyfaxlnetx,New-Node_pbswanalgx,561573918
UMLCloneNode,EnterpriseServer,EnterpriseServer_upvwjkknoo,,381272986
Move_Component_New_Node,CashBoxController,New-Node_knkpmcgqjp,,542358939
UMLCloneNode,StoreServer,StoreServer_zghucygied,,442773893
UMLCloneNode,New-Node_knkpmcgqjp,New-Node_knkpmcgqjp_gdgfquqorx,,393963050
UMLCloneNode,New-Node_kijnftcfue,New-Node_kijnftcfue_pvljdppbma,,191816456
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jztlwquvtw,New-Node_xiqxjeirib,624742092
Move_Component_New_Node,GUIStore,New-Node_euqatewujr,,480400234
Move_Operation_Component,getTransactionContext,CashBoxController,,302327519
UMLCloneNode,New-Node_dcahghmsxf,New-Node_dcahghmsxf_qcebstimwn,,274927673
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_jabxtjxufn,New-Node_xpvyqfarql,646149141
Move_Operation_Component,getMeanTimeToDelivery,DataStore,,262965363
UMLCloneNode,LightDisplay,LightDisplay_ayqzhhungg,,431357497
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_kpyzivhhzz,New-Node_cfrkvgnlwe,633636450
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_jabxtjxufn,New-Node_xpvyqfarql,639238373
Move_Operation_Component,getMeanTimeToDelivery,DataStore,,310325846
UMLCloneNode,LightDisplay,LightDisplay_ayqzhhungg,,441411137
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_kpyzivhhzz,New-Node_cfrkvgnlwe,522160857
Move_Operation_New_Component_New_Node,getTransaction,New-Component_uhwttkqeua,New-Node_rrukxyczqv,613539807
Move_Operation_New_Component_New_Node,scanProduct,New-Component_ptxnaqrpiw,New-Node_pgmypfoeqt,615865207
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_lyfaxlnetx,New-Node_pbswanalgx,602583233
UMLCloneNode,EnterpriseServer,EnterpriseServer_upvwjkknoo,,402480360
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_yqegmkfmdi,New-Node_znhxbfgqdc,633339002
Move_Component_New_Node,CashBoxController,New-Node_ipvjfojagi,,448745881
Move_Operation_Component,getEnterpriseByID,Persistence,,294536771
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_jgveziuver,New-Node_twehtwizwi,587801066
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_jabxtjxufn,New-Node_xpvyqfarql,576647452
Move_Operation_Component,getMeanTimeToDelivery,DataStore,,269913751
UMLCloneNode,LightDisplay,LightDisplay_ayqzhhungg,,400508063
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_kpyzivhhzz,New-Node_cfrkvgnlwe,526863865
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_jabxtjxufn,New-Node_xpvyqfarql,562855852
Move_Operation_Component,getMeanTimeToDelivery,DataStore,,208513874
